Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 30:0:0	0.048590913	0.06981885	0.05936128	0.065483086	[0.048590913..0.06981885]	Sum	[0.066123806..0.06905797]	[0.06214598..0.06699923]	[0.06007107..0.069436245]	[0.062228244..0.069417395]	[0.06007107..0.069436245]	
						PG 16:0/14:0	[0.033911947..0.037044663]	[0.029108018..0.035288386]	[0.02692655..0.03524745]	[0.030762343..0.03701182]	[0.02692655..0.037044663]	
						PG 14:0/16:0	[0.030217258..0.03321717]	[0.02880162..0.03495548]	[0.028816134..0.037450414]	[0.028485928..0.034461655]	[0.028485928..0.037450414]	
						PG 15:0/15:0	[9.0069015E-4..9.455591E-4]	[6.6795753E-4..8.335915E-4]	[7.646989E-4..0.0010044556]	[5.134393E-4..9.2742173E-4]	[5.134393E-4..0.0010044556]	
PG 30:1:0	0.03187189	0.0	0.0	0.02883255	[0.0..0.03187189]	Sum	[0.028360635..0.0291945]	[0.027531974..0.031275436]	[0.026214665..0.03362564]	[0.026978597..0.030173933]	[0.026214665..0.03362564]	
						PG 18:1/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 12:0/18:1	[0.002767856..0.0029188264]	[0.0030969465..0.0033002964]	[0.002880068..0.0036491596]	[0.0027644085..0.0031375652]	[0.0027644085..0.0036491596]	
						PG 16:0/14:1	[0.005685452..0.0074967337]	[0.005087757..0.0072998656]	[0.003644297..0.0071653607]	[0.0059817187..0.008834337]	[0.003644297..0.008834337]	
						PG 14:1/16:0	[0.004759637..0.006520532]	[0.0055481875..0.007863563]	[0.006585935..0.011124743]	[0.0035186578..0.0059242025]	[0.0035186578..0.011124743]	
						PG 16:1/14:0	[0.0013348833..0.0018372476]	[0.0010450851..0.0014698204]	[0.0011616173..0.0016004759]	[5.993104E-4..0.0015420093]	[5.993104E-4..0.0018372476]	
						PG 14:0/16:1	[0.011730792..0.01273354]	[0.011547545..0.012864429]	[0.010124293..0.012947993]	[0.011608381..0.013496118]	[0.010124293..0.013496118]	
PG 31:0:0	0.0307394	0.0	0.0	0.03591874	[0.0..0.03591874]	Sum	[0.09770279..0.11051986]	[0.09351234..0.110951625]	[0.09364173..0.11123689]	[0.09104782..0.11257396]	[0.09104782..0.11257396]	
						PG 17:0/14:0	[5.171162E-4..7.339496E-4]	[6.655962E-4..0.0010735394]	[5.06312E-4..8.9346874E-4]	[5.8926275E-4..8.828641E-4]	[5.06312E-4..0.0010735394]	
						PG 14:0/17:0	[3.7275878E-4..5.619485E-4]	[1.3132839E-4..4.0937963E-4]	[2.4171134E-4..5.426366E-4]	[2.1217315E-4..4.403002E-4]	[1.3132839E-4..5.619485E-4]	
						PG 16:0/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/16:0	[0.09670932..0.109349065]	[0.09251017..0.10973047]	[0.09271288..0.11003593]	[0.090004385..0.11145572]	[0.090004385..0.11145572]	
PG 32:0:0	1.8755442	1.833596	1.9343721	1.8305136	[1.8305136..1.9343721]	Sum	[1.7036278..1.850013]	[1.5822455..1.8618183]	[1.5580621..1.8610723]	[1.6318214..1.8038408]	[1.5580621..1.8618183]	
						PG 18:0/14:0	[5.32065E-4..0.0032188173]	[7.314769E-4..0.013930105]	[0.0023299193..0.009063116]	[0.0010091274..0.013267147]	[5.32065E-4..0.013930105]	
						PG 14:0/18:0	[0.0066049453..0.01082902]	[0.0..0.009639632]	[0.0048735924..0.013028229]	[0.0..0.0074959383]	[0.0..0.013028229]	
						PG 16:0/16:0	[1.693293..1.8385252]	[1.5798507..1.8478884]	[1.5473042..1.84501]	[1.6294857..1.7905736]	[1.5473042..1.8478884]	
PG 32:1:0	3.3700707	3.4136586	3.4168532	3.3883982	[3.3700707..3.4168532]	Sum	[3.1182568..3.3910007]	[3.0991626..3.2500265]	[2.848396..3.2430477]	[3.0120978..3.3609447]	[2.848396..3.3910007]	
						PG 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:0/18:1	[0.51689273..0.5607448]	[0.5174369..0.5679355]	[0.46044818..0.5439516]	[0.5128935..0.5672278]	[0.46044818..0.5679355]	
						PG 16:0/16:1	[2.4951255..2.830256]	[2.4307818..2.711912]	[2.324375..2.711624]	[2.3961256..2.7937171]	[2.324375..2.830256]	
						PG 16:1/16:0	[0.0..0.113210246]	[0.0..0.13288368]	[0.0..0.07050222]	[0.0..0.11174868]	[0.0..0.13288368]	
PG 32:2:0	0.28153315	0.27394518	0.24679984	0.2575531	[0.24679984..0.28153315]	Sum	[0.24579021..0.2837309]	[0.2548231..0.2657726]	[0.22903176..0.28543624]	[0.26177594..0.26432014]	[0.22903176..0.28543624]	
						PG 18:1/14:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:1/18:1	[0.006420107..0.0076867556]	[0.0065665008..0.0074156127]	[0.0063029323..0.008342156]	[0.007231251..0.007644745]	[0.0063029323..0.008342156]	
						PG 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:0/18:2	[0.16686013..0.18930683]	[0.170403..0.17741066]	[0.15253796..0.18855146]	[0.17523943..0.17926487]	[0.15253796..0.18930683]	
						PG 16:0/16:2	[0.015733263..0.027205257]	[0.014572217..0.023358334]	[0.013219811..0.026964055]	[0.016084189..0.02611871]	[0.013219811..0.027205257]	
						PG 16:2/16:0	[0.0028628174..0.01099918]	[0.004499141..0.011878568]	[0.004870456..0.015695496]	[0.0020443914..0.009883525]	[0.0020443914..0.015695496]	
						PG 16:1/16:1	[0.04839446..0.055997152]	[0.04908241..0.054041743]	[0.04522253..0.05554056]	[0.05119127..0.052661818]	[0.04522253..0.055997152]	
PG 33:0:0	0.043248862	0.045937467	0.0469741	0.051577047	[0.043248862..0.051577047]	Sum	[0.053844113..0.06009127]	[0.050531734..0.059983324]	[0.051513012..0.0615291]	[0.0503583..0.059486512]	[0.0503583..0.0615291]	
