Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 34:0:0	0.066672534	0.047767468	0.05021161	0.048172943	[0.047767468..0.066672534]	Sum	[0.07820984..0.07820984]	[0.08062515..0.08062515]	[0.07476662..0.07476662]	[0.08525461..0.08525461]	[0.07476662..0.08525461]
						PS 16:0-18:0	[0.07820984..0.07820984]	[0.08062515..0.08062515]	[0.07476662..0.07476662]	[0.08525461..0.08525461]	[0.07476662..0.08525461]
PS 34:1:0	3.3853378	3.4090514	3.3926728	3.419477	[3.3853378..3.419477]	Sum	[3.0886276..3.0886276]	[3.386667..3.386667]	[3.026483..3.026483]	[3.0205367..3.0205367]	[3.0205367..3.386667]
						PS 16:1-18:0	[0.7205039..0.7205039]	[0.8038475..0.8038475]	[0.7018726..0.7018726]	[0.6992424..0.6992424]	[0.6992424..0.8038475]
						PS 16:0-18:1	[2.3681235..2.3681235]	[2.5828197..2.5828197]	[2.3246105..2.3246105]	[2.3212943..2.3212943]	[2.3212943..2.5828197]
PS 34:2:0	0.14635737	0.16418362	0.16541938	0.12335486	[0.12335486..0.16541938]	Sum	[0.17010938..0.17010938]	[0.19384006..0.19384006]	[0.16758221..0.16758221]	[0.19209868..0.19209868]	[0.16758221..0.19384006]
						PS 16:2-18:0	[0.02263124..0.02263124]	[0.033159554..0.033159554]	[0.028447958..0.028447958]	[0.045976315..0.045976315]	[0.02263124..0.045976315]
						PS 16:1-18:1	[0.10725453..0.10725453]	[0.11791382..0.11791382]	[0.10161461..0.10161461]	[0.10575356..0.10575356]	[0.10161461..0.11791382]
						PS 16:0-18:2	[0.0402236..0.0402236]	[0.04276668..0.04276668]	[0.037519634..0.037519634]	[0.040368803..0.040368803]	[0.037519634..0.04276668]
PS 35:0:0	0.0964951	0.080786005	0.06511707	0.08988041	[0.06511707..0.0964951]	Sum	[0.03206141..0.03206141]	[0.029816518..0.029816518]	[0.01960777..0.01960777]	[0.020636652..0.020636652]	[0.01960777..0.03206141]
						PS 17:0-18:0	[0.03206141..0.03206141]	[0.029816518..0.029816518]	[0.01960777..0.01960777]	[0.020636652..0.020636652]	[0.01960777..0.03206141]
PS 35:1:0	0.96432084	0.98527527	1.0199807	1.023333	[0.96432084..1.023333]	Sum	[0.96624583..0.96624583]	[1.0348278..1.0348278]	[0.93003035..0.93003035]	[0.955308..0.955308]	[0.93003035..1.0348278]
						PS 17:1-18:0	[0.2897242..0.2897242]	[0.31752858..0.31752858]	[0.27963293..0.27963293]	[0.28697816..0.28697816]	[0.27963293..0.31752858]
