Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 30:0:0	0.054569747	0.07375116	0.06246369	0.07228889	[0.054569747..0.07375116]	Sum	[0.034047924..0.034047924]	[0.033933748..0.033933748]	[0.035462663..0.035462663]	[0.034156013..0.034156013]	[0.033933748..0.035462663]
						PG 14:0-16:0	[0.033594787..0.033594787]	[0.03352158..0.03352158]	[0.034961868..0.034961868]	[0.03371035..0.03371035]	[0.03352158..0.034961868]
						PG 15:0/15:0	[4.5313832E-4..4.5313832E-4]	[4.121564E-4..4.121564E-4]	[5.0079514E-4..5.0079514E-4]	[4.4566533E-4..4.4566533E-4]	[4.121564E-4..5.0079514E-4]
PG 30:1:0	0.033477087	0.0	0.0	0.030416343	[0.0..0.033477087]	Sum	[0.01493889..0.01493889]	[0.01582698..0.01582698]	[0.017183831..0.017183831]	[0.014875598..0.014875598]	[0.014875598..0.017183831]
						PG 12:0-18:1	[0.0015797985..0.0015797985]	[0.0017633598..0.0017633598]	[0.001973662..0.001973662]	[0.0016249082..0.0016249082]	[0.0015797985..0.001973662]
						PG 14:1-16:0	[0.006378313..0.006378313]	[0.0070645693..0.0070645693]	[0.008128697..0.008128697]	[0.0063147387..0.0063147387]	[0.0063147387..0.008128697]
						PG 14:0-16:1	[0.00698078..0.00698078]	[0.0069990447..0.0069990447]	[0.007081473..0.007081473]	[0.006935952..0.006935952]	[0.006935952..0.007081473]
PG 31:0:0	0.03228756	0.0	0.0	0.037891783	[0.0..0.037891783]	Sum	[0.05431251..0.05431251]	[0.056897763..0.056897763]	[0.05751516..0.05751516]	[0.056098837..0.056098837]	[0.05431251..0.05751516]
						PG 14:0-17:0	[5.501091E-4..5.501091E-4]	[6.2349165E-4..6.2349165E-4]	[6.162792E-4..6.162792E-4]	[5.532447E-4..5.532447E-4]	[5.501091E-4..6.2349165E-4]
						PG 15:0-16:0	[0.053762406..0.053762406]	[0.056274258..0.056274258]	[0.05689888..0.05689888]	[0.055545602..0.055545602]	[0.053762406..0.05689888]
PG 32:0:0	1.9700041	1.9368672	2.0354683	1.9310651	[1.9310651..2.0354683]	Sum	[0.8913861..0.8913861]	[0.92057437..0.92057437]	[0.96495014..0.96495014]	[0.90144724..0.90144724]	[0.8913861..0.96495014]
						PG 14:0-18:0	[0.005433174..0.005433174]	[0.0060622985..0.0060622985]	[0.008281792..0.008281792]	[0.0065832427..0.0065832427]	[0.005433174..0.008281792]
						PG 16:0/16:0	[0.885953..0.885953]	[0.9145118..0.9145118]	[0.95666826..0.95666826]	[0.8948641..0.8948641]	[0.885953..0.95666826]
PG 32:1:0	3.5738575	3.6392484	3.6253378	3.6058168	[3.5738575..3.6392484]	Sum	[1.6265428..1.6265428]	[1.6623795..1.6623795]	[1.6680989..1.6680989]	[1.670448..1.670448]	[1.6265428..1.670448]
						PG 14:0-18:1	[0.2829559..0.2829559]	[0.2879983..0.2879983]	[0.28263918..0.28263918]	[0.29451907..0.29451907]	[0.28263918..0.29451907]
						PG 16:0-16:1	[1.343587..1.343587]	[1.3743807..1.3743807]	[1.3854597..1.3854597]	[1.3759291..1.3759291]	[1.343587..1.3854597]
PG 32:2:0	0.29571226	0.28937426	0.25969836	0.27170068	[0.25969836..0.29571226]	Sum	[0.12740707..0.12740707]	[0.12998906..0.12998906]	[0.13662823..0.13662823]	[0.13092503..0.13092503]	[0.12740707..0.13662823]
						PG 14:1-18:1	[0.003481778..0.003481778]	[0.003967277..0.003967277]	[0.004509918..0.004509918]	[0.0039719706..0.0039719706]	[0.003481778..0.004509918]
						PG 14:0-18:2	[0.08630828..0.08630828]	[0.08818131..0.08818131]	[0.0914284..0.0914284]	[0.08856858..0.08856858]	[0.08630828..0.0914284]
						PG 16:0-16:2	[0.011988868..0.011988868]	[0.012295116..0.012295116]	[0.01323942..0.01323942]	[0.011746352..0.011746352]	[0.011746352..0.01323942]
						PG 16:1/16:1	[0.025628151..0.025628151]	[0.025545303..0.025545303]	[0.027450476..0.027450476]	[0.026638137..0.026638137]	[0.025545303..0.027450476]
PG 33:0:0	0.045427047	0.04852474	0.04942912	0.054410215	[0.045427047..0.054410215]	Sum	[0.030222718..0.030222718]	[0.031095773..0.031095773]	[0.032155115..0.032155115]	[0.029966913..0.029966913]	[0.029966913..0.032155115]
						PG 15:0-18:0	[0.0031081508..0.0031081508]	[0.0032845899..0.0032845899]	[0.003899917..0.003899917]	[0.0030888051..0.0030888051]	[0.0030888051..0.003899917]
						PG 16:0-17:0	[0.027114572..0.027114572]	[0.027811171..0.027811171]	[0.028255198..0.028255198]	[0.026878113..0.026878113]	[0.026878113..0.028255198]
PG 33:1:0	0.46775946	0.44655967	0.44845626	0.43349364	[0.43349364..0.46775946]	Sum	[0.29059124..0.29059124]	[0.29431057..0.29431057]	[0.30468357..0.30468357]	[0.30870017..0.30870017]	[0.29059124..0.30870017]
						PG 15:0-18:1	[0.16025232..0.16025232]	[0.16334437..0.16334437]	[0.16929848..0.16929848]	[0.16898528..0.16898528]	[0.16025232..0.16929848]
						PG 16:1-17:0	[0.007832927..0.007832927]	[0.007841465..0.007841465]	[0.008069353..0.008069353]	[0.008186929..0.008186929]	[0.007832927..0.008186929]
						PG 16:0-17:1	[0.12250603..0.12250603]	[0.12312464..0.12312464]	[0.1273157..0.1273157]	[0.13152799..0.13152799]	[0.12250603..0.13152799]
PG 33:2:0	0.16555443	0.18863666	0.17557411	0.20716868	[0.16555443..0.20716868]	Sum	[0.18760248..0.18760248]	[0.19441086..0.19441086]	[0.19912913..0.19912913]	[0.19764552..0.19764552]	[0.18760248..0.19912913]
